,Topic,Words,Frequency,Timestamp
89,7,"vehicle, vehicles, dealerships, dealership, automotive",10,2008-01-01
90,8,"mortgage, fannie, mae, fannie mae, loans",14,2008-01-01
91,9,"vitas, debt, hotels, gas, hospice",7,2008-01-01
92,10,"combination, initial, initial combination, warrants, target",5,2008-01-01
93,11,"hotel, hotels, travel, reit, tax",4,2008-01-01
94,12,"healthcare, health, medicare, care, services",4,2008-01-01
95,13,"medicare, health, asset sale, notes, pharmacy",3,2008-01-01
96,15,"restaurants, restaurant, franchisees, food, fuddruckers",3,2008-01-01
97,16,"insurance, reinsurance, company, premiums, insurance company",2,2008-01-01
98,17,"mining, exploration, mineral, mine, gold",2,2008-01-01
99,18,"wireless, services, new services, suppliers vendors, new",1,2008-01-01
100,19,"pages document, factors20forward statements30, factorsrisk pages, statements30, factors20forward",2,2008-01-01
101,20,"president, vice, vice president, mr, licensees",4,2008-01-01
102,21,"services, service, content, subscribers, video",4,2008-01-01
103,22,"semiconductor, semiconductor equipment, equipment, test, products",1,2008-01-01
104,24,"rule 12b, 12b, defined rule, 12b exchange, provide information",1,2008-01-01
105,25,"government, contracts, contract, costs, us",2,2008-01-01
106,26,"southern, southern company, gas, spire, power",3,2008-01-01
107,27,"unitholders, units, general partner, partner, common units",3,2008-01-01
108,29,"ishares, gold, trust, custodian, trustee",1,2008-01-01
109,31,"programming, wwe, television, stations, fcc",2,2008-01-01
110,32,"aircraft, company, max, airline, faa",1,2008-01-01
111,33,"water, wastewater, water wastewater, water supply, costs",1,2008-01-01
112,34,"interest, interest rates, rates, changes interest, loans",1,2008-01-01
113,35,"theatre, hotels resorts, film, movie, films",1,2008-01-01
114,36,"homes, home, land, homebuilding, mortgage",1,2008-01-01
115,37,"puerto rico, rico, puerto, insurance, corporation",1,2008-01-01
116,38,"search, users, advertising, services, homeadvisor",1,2008-01-01
117,39,", , , , ",2,2008-01-01
118,40,"software, aspenone, products, raw, process",3,2008-01-01
119,41,"qvc, group, liberty, xm, programming",2,2008-01-01
120,42,"ung, futures, uscf, contracts, us12of",2,2008-01-01
121,43,"timber, timberlands, zealand, new zealand, timberland",2,2008-01-01
122,45,"fruit, vegetables, vegetable, food, fruit vegetable",3,2008-01-01
123,47,"title, title insurance, insurance, stewart, investment",1,2008-01-01
124,48,"viad, viads, ges, viads businesses, exhibitgroup",1,2008-01-01
125,49,"revise result, common stock32, stock32, related business17risks, factors17risks",2,2008-01-01
126,51,"refined, refineries, crude, refined products, crude oil",1,2008-01-01
127,54,"paper, pulp, million, credit, debt",3,2008-01-01
128,56,"navy, chinese, operations, results, results operations",1,2008-01-01
129,57,"products, food, snack, foodservice, sales",2,2008-01-01
130,58,"ctg, gsci, clients, revenue, gsci er",2,2008-01-01
131,59,"games, game, titles, entertainment, revenue",3,2008-01-01
132,60,"euro, trust, depository, price euro, deposit",1,2008-01-01
133,61,"jewelry, moissanite, finished jewelry, jewels, insurance",2,2008-01-01
134,62,"engagements, consultants, clients, client, employee",2,2008-01-01
135,66,"cruise, ships, cruises, vacation, guests",2,2008-01-01
136,69,"sears, members customers, craftsman, sears canada, merchandise",1,2008-01-01
137,72,"satellites, satellite, merger, radios, sirius radios",1,2008-01-01
138,73,"government, aerospace, aerospace businesses, aircraft, businesses",1,2008-01-01
139,74,"nea, njea, power, power purchase, energy",1,2008-01-01
140,75,"home improvement, home, improvement, sales, stores",1,2008-01-01
141,76,"mv, mv partners, trust, underlying properties, profits interest",1,2008-01-01
142,77,"fulfillment, services, websites, commerce, inventory",1,2008-01-01
143,78,"reinsurance, rga, insurance, life, company",2,2008-01-01
144,81,"footwear, companys, apparel, footwear apparel, company",1,2008-01-01
145,85,"insurance, title, title insurance, mortgage, dividends insurance",1,2008-01-01
146,87,"printers, printing, products, materials, printer",1,2008-01-01
147,92,"siebert, trading, securities, broker, brokerage",1,2008-01-01
148,97,"reliance statements, iitem business1item, undue reliance, business1item, place undue",2,2008-01-01
149,100,"laboratory, cdd, company, laboratories, testing",2,2008-01-01
150,105,"salons, beauty, products, company, products corporation",2,2008-01-01
151,106,"industry62, relating industry62, factors43risks, factors43risks relating, relating business44risks",1,2008-01-01
152,108,"florida, real, estate, real estate, northwest florida",3,2008-01-01
153,110,"properties, tenants, megaplex, entertainment, asset liquidation",2,2008-01-01
154,111,"independent associates, associates, independent, company, network marketing",2,2008-01-01
155,112,"company, rio rancho, media services, rancho, rio",1,2008-01-01
156,113,"products, spine, device, fda, surgeons",1,2008-01-01
157,114,"clients, client, advertising marketing, agencies, financial position",1,2008-01-01
158,116,"guaranty, fair value, fair, value, losses",1,2008-01-01
159,124,"telesat, satellite, satellites, loral, xtar",1,2008-01-01
160,125,"companys, companys products, materials, affect companys, raw",1,2008-01-01
161,128,"seed, mosaic, cargill, crop, phosphate",1,2008-01-01
162,130,"mmc, mercer, consulting, insurance, marsh",2,2008-01-01
163,131,"southern, traditional operating, southern company, operating companies, traditional",2,2008-01-01
164,135,"advisors, advisors clients, clients, secured credit, service",1,2008-01-01
165,136,"nuclear, duke, fuel, power, duke energy",1,2008-01-01
166,-1,"financial, products, operations, us, results",125,2009-01-01
167,0,"products, customers, results, operations, financial",47,2009-01-01
168,1,"product, clinical, candidates, product candidates, trials",24,2009-01-01
169,2,"bank, loans, loan, financial, interest",29,2009-01-01
170,3,"smaller reporting, smaller, reporting company, provide information, reporting",15,2009-01-01
171,4,"gas, oil, natural gas, natural, oil natural",12,2009-01-01
172,5,"properties, reit, tenants, income, property",13,2009-01-01
173,6,"investment, investments, portfolio, securities, debt",8,2009-01-01
174,7,"vehicle, vehicles, dealerships, automotive, operations",12,2009-01-01
175,8,"mortgage, mae, fannie, loans, fannie mae",11,2009-01-01
176,9,"stock, feedstock, series, preferred, preferred stock",2,2009-01-01
177,10,"combination, initial, initial combination, kcs, warrants",2,2009-01-01
178,11,"hotel, hotels, reit, company, properties",9,2009-01-01
179,12,"healthcare, services, health, company, vips",7,2009-01-01
180,13,"medicare, medicaid, care, health, rico",4,2009-01-01
181,14,"fund, futures, funds, vix, benchmark",7,2009-01-01
182,15,"restaurants, franchisees, restaurant, food, franchise",3,2009-01-01
183,16,"aig, insurance, reinsurance, subsidiaries, aig parent",1,2009-01-01
184,17,"exploration, mineral, mining, gold, company",5,2009-01-01
185,18,"wireless, spectrum, fcc, tds, services",4,2009-01-01
186,19,"factorsinformation, applicable registrant, pages, factorsnot, companys included",4,2009-01-01
187,20,"president, vice, vice president, mr, served",3,2009-01-01
188,21,"content, subscribers, sky, video, services",2,2009-01-01
189,22,"semiconductor, products, manufacturing, customers, sales",4,2009-01-01
190,23,"fuel, freight, carriers, transportation, drivers",3,2009-01-01
191,24,"factorswe smaller, rule 12b, 12b, defined rule, 12b exchange",1,2009-01-01
192,25,"leidos, contracts, government, contract, lockheed martin",1,2009-01-01
193,26,"southern, southern company, gas, spire, power",2,2009-01-01
194,27,"general partner, unitholders, partner, units, common units",3,2009-01-01
195,28,"companys, beer, breweries, company, hops",1,2009-01-01
196,29,"ishares, gold, trust, custodian, trustee",1,2009-01-01
197,30,"farmer, farmer mac, agricultural, mac, stores",3,2009-01-01
198,31,"programming, television, stations, content, fcc",1,2009-01-01
199,32,"aircraft, contracts, airline, government, program",1,2009-01-01
200,33,"water, rangeview, wastewater, rangeview district, lowry",4,2009-01-01
201,34,"company, dnb, fhlb, interest, bank",1,2009-01-01
202,35,"theatre, cinema, film, ncm, films",2,2009-01-01
203,36,"homes, land, homebuilding, home, homebuilders",2,2009-01-01
204,37,"insurance, reinsurance, company, catastrophe, claims",5,2009-01-01
205,40,"bway, pik notes, raw, pik, products",4,2009-01-01
206,42,"usl, futures, uscf, contracts, futures contracts",1,2009-01-01
207,43,"carpet, floorcovering, lumber, timber, masland",2,2009-01-01
208,44,"solar, modules, pv, energy, solar modules",3,2009-01-01
209,45,"avocados, sale transaction, fresh, fruit, calavo",3,2009-01-01
210,46,"ethanol, biodiesel, fuel, national fuels, fuels",2,2009-01-01
211,49,"factors13risks related, common stock30, factors13risks, business13risks, business13risks related",1,2009-01-01
212,51,"holly, unitholders, refined, general partner, partner",1,2009-01-01
213,52,"payroll, clients, paychex, services, workers",2,2009-01-01
214,53,"snap, franchisees, snap ons, ons, pension",1,2009-01-01
215,54,"paper, coated, paper products, indebtedness, raw",1,2009-01-01
216,55,"mge, energy, electric, generation, power",1,2009-01-01
217,56,"nalco, consolidated results, position cash, operations, consolidated",1,2009-01-01
218,57,"products, food, nut, flowers, foods",3,2009-01-01
219,58,"gsci, investing pool, cerfs, gsci er, investing",2,2009-01-01
220,59,"game, video game, video, games, game products",2,2009-01-01
221,62,"engagements, employee, consultants, employee consultants, clients",1,2009-01-01
222,65,"evercore, evercore lp, lp, clients, advisory",1,2009-01-01
223,67,"equipment, construction, rod, pc strand, strand",2,2009-01-01
224,68,"furniture, sc transport, transport inc, office furniture, raw",1,2009-01-01
225,69,"contract professionals, clients, contract, professionals, staffing",2,2009-01-01
226,71,"class common, class, lived, tax, shares class",1,2009-01-01
227,72,"spacecraft, aso, satellite, satellites, space",1,2009-01-01
228,73,"government, aerospace, percent, aircraft, percent total",1,2009-01-01
229,75,"home, home improvement, financial position, sales, products",2,2009-01-01
230,76,"mv, mv partners, trust, underlying properties, profits interest",1,2009-01-01
231,78,"reinsurance, rga, insurance, life, ceding",2,2009-01-01
232,79,"filings exchange, act part, report described, company filings, described company",3,2009-01-01
233,80,"gaming, casino, casinos, colorado, slot",1,2009-01-01
234,81,"footwear, ugg, products, brands, sales",1,2009-01-01
235,82,"factorssee managements, factorssee, factorsdisclosure, factorsdisclosure regarding, performance set",2,2009-01-01
236,83,"title iv, education, students, iv, title",1,2009-01-01
237,85,"mortgage, loans, mgic, insurance, mortgage insurance",1,2009-01-01
238,88,"coal, mining, coke, cokemaking, mine",2,2009-01-01
239,91,"drilling, rigs, drilling contracts, rig, offshore",1,2009-01-01
240,92,"brokerage, trading, electronic, markets, broker",1,2009-01-01
241,94,"grainger, position assumed, pandemic, grainger ability, products",1,2009-01-01
242,95,"oem suppliers, mitac, oem, mitac international, operating results",1,2009-01-01
243,98,"dte, registrants, dte energy, energy, gas",1,2009-01-01
244,103,"tobacco, cigarette, tobacco products, swm, lip",1,2009-01-01
245,104,"material, heartland, future, arconics, union",1,2009-01-01
246,105,"salons, salon, franchisees, company, franchise",1,2009-01-01
247,108,"bay, bay holdings, real, estate, real estate",1,2009-01-01
248,111,"sales force, force, company, direct consumer, consumer companies",1,2009-01-01
249,112,"company, nrg, furniture, within, markets",1,2009-01-01
250,113,"products, spine, surgeons, fda, distributors",1,2009-01-01
251,114,"motorola, motorola mobility, clients, motorola marks, mobility",1,2009-01-01
252,116,"guaranty, fair value, fair, value, losses",2,2009-01-01
253,123,"hetnets, wireless, shared wireless, wireless infrastructure, shared",2,2009-01-01
254,124,"content, services, content delivery, customers, telesat",1,2009-01-01
255,127,"income, reit, assets, mortgage, tax",1,2009-01-01
256,129,"factorssmaller, factorssmaller reporting, reporting companies, companies required, required provide",2,2009-01-01
257,130,"mmc, consulting, mercer, putnam, insurance",3,2009-01-01
258,131,"southern, traditional operating, southern company, operating companies, traditional",1,2009-01-01
259,132,"varex, auto, state auto, auto mutual, president",1,2009-01-01
260,133,"beryllium, sales, products solutions, products, solutions services",1,2009-01-01
261,134,"steel, iron, iron ore, ore, building",2,2009-01-01
262,136,"fpl, fpl group, group fpl, group, duke",1,2009-01-01
263,-1,"operations, financial, products, us, results",130,2010-01-01
264,0,"products, customers, results, operations, sales",48,2010-01-01
265,1,"clinical, product, candidates, product candidates, approval",28,2010-01-01
266,2,"bank, loans, loan, interest, financial",30,2010-01-01
267,3,"smaller reporting, smaller, reporting company, provide information, reporting",9,2010-01-01
268,4,"gas, oil, natural gas, natural, oil natural",18,2010-01-01
269,5,"properties, reit, tenants, income, real",11,2010-01-01
270,6,"investment, investments, portfolio, securities, value",11,2010-01-01
271,7,"ntic, vehicle, vehicles, sales, automotive",10,2010-01-01
272,8,"mortgage, fannie, mae, fannie mae, fhfa",9,2010-01-01
273,9,"twc, bright house, bright, charter, twc transaction",7,2010-01-01
274,10,"combination, initial, initial combination, stock, shares",2,2010-01-01
275,11,"hotel, hotels, reit, hotel properties, properties",7,2010-01-01
276,12,"healthcare, care, medicare, health, services",5,2010-01-01
277,13,"medicare, care, health, reit, medicaid",5,2010-01-01
278,14,"fund, funds, futures, vix, benchmark",3,2010-01-01
279,15,"restaurants, restaurant, franchisees, food, franchise",4,2010-01-01
280,16,"argo, reinsurance, insurance, argo group, argo groups",2,2010-01-01
281,18,"wireless, products, tds, customers, services",5,2010-01-01
282,19,"pages, report pages, statementspages, factors11general risks, risks uncertainties11",4,2010-01-01
283,20,"ibm, company, president, notes, vice",4,2010-01-01
284,21,"services, ticketmaster, company, content, service",3,2010-01-01
285,22,"semiconductor, manufacturing, customers, wafer, products",4,2010-01-01
286,23,"fuel, freight, carriers, drivers, equipment",1,2010-01-01
287,24,"rule 12b, 12b, defined rule, 12b exchange, provide information",2,2010-01-01
288,25,"contracts, government, contract, dredging, federal government",4,2010-01-01
289,26,"southern, southern company, power, company gas, traditional electric",1,2010-01-01
290,28,"companys, wine, brands, beverage, products",2,2010-01-01
291,29,"gold, custodian, trust, trustee, sub",2,2010-01-01
292,30,"agricultural, agricultural equipment, farmer, farmer mac, agricultural industry",1,2010-01-01
293,31,"television, stations, programming, fcc, station",1,2010-01-01
294,32,"boeing, aircraft, b787, spirit, airbus",1,2010-01-01
295,33,"water, desalination, wastewater, px, water supply",3,2010-01-01
296,34,"dnb, bank, interest, loans, financial",3,2010-01-01
297,35,"ncm, cotter, founding, ncm llc, founding members",2,2010-01-01
298,36,"homes, land, homebuilding, home, construction",1,2010-01-01
299,37,"insurance subsidiaries, insurance, subsidiaries, donegal, company",3,2010-01-01
300,38,"iac, search, interval, users, advertising",1,2010-01-01
301,39,", , , , ",2,2010-01-01
302,41,"4kids, television, 4kids tv, programming, broadcast",1,2010-01-01
303,42,"ung, uso, futures, uscf, contracts",2,2010-01-01
304,43,"lumber, timber, sales, growth, lumber market",2,2010-01-01
305,44,"solar, modules, pv, pv modules, quality assurance",2,2010-01-01
306,45,"senior secured, secured, senior, notes debentures, secured credit",1,2010-01-01
307,47,"title, title insurance, fgl, insurance, investment",1,2010-01-01
308,49,"revise result, contentstable, update revise, iitem, events otherwise",4,2010-01-01
309,50,"semiconductor, manufacturing, products, china, customers",2,2010-01-01
310,51,"biodiesel, nitrogen, fertilizer, biofuels, nitrogen fertilizer",1,2010-01-01
311,53,"snap, franchisees, snap ons, ons, operations cash",2,2010-01-01
312,54,"pulp, paper, papers, kimberly, kimberly clark",3,2010-01-01
313,55,"avista, mge, energy, avista utilities, utilities",2,2010-01-01
314,57,"kraft foods, foods, kraft, president, food",1,2010-01-01
315,59,"game, games, titles, products, video game",2,2010-01-01
316,60,"earnings, trust, clients, northern, negatively",1,2010-01-01
317,61,"jewelry, moissanite, insurance, financial, effect",3,2010-01-01
318,62,"clients, client, consultants, engagements, employee",3,2010-01-01
319,63,"homebuilding, homes, mortgage, profitability stock, stock performance",1,2010-01-01
320,64,"power, energy, generation, nep, facilities",1,2010-01-01
321,65,"evercore, investment, advisory, jmp, clients",2,2010-01-01
322,66,"cruise, ships, cruises, vacation, guests",1,2010-01-01
323,67,"equipment, rental, construction, credit, rental fleet",2,2010-01-01
324,68,"furniture, virco, raw, price list, school",1,2010-01-01
325,69,"claims, insurance, claim, losses, claim adjustment",1,2010-01-01
326,71,"class common, products, results, class, lived",2,2010-01-01
327,73,"government, aerospace, percent, aircraft, percent total",1,2010-01-01
328,74,"nstar, electric, gas, psnh, eversource",1,2010-01-01
329,77,"fulfillment, services, fulfillment network, inventory, content",1,2010-01-01
330,83,"education, strayer, title iv, strayer university, programs",1,2010-01-01
331,84,"animal, animal health, health, patterson, dental",1,2010-01-01
332,85,"mortgage, loans, mgic, insurance, mortgage insurance",1,2010-01-01
333,86,"uranium, mining, exploration, nuclear, new mexico",1,2010-01-01
334,87,"vistaprint, printing, websites, products, customers",1,2010-01-01
335,88,"coal, mining, nsp, psco, energy",3,2010-01-01
336,90,"contentsregis corporationform, 2table contentsregis, contentsregis, business4executive officers, 14a 2table",1,2010-01-01
337,92,"electronic trading, trading, trading platform, broker, electronic",1,2010-01-01
338,94,"grainger, fiscal, pet, garden, stock class",2,2010-01-01
339,95,"oem, products, oem customers, customers, operating results",2,2010-01-01
340,96,"distributors, products, herbalife, dietary, oxide",2,2010-01-01
341,100,"laboratory, laboratories, testing, clinical laboratory, clinical",1,2010-01-01
342,102,"cranes, manitowoc, crane, boom, products",1,2010-01-01
343,104,"raw, nickel, raw materials, materials, material",1,2010-01-01
344,105,"salons, condition profitability, salon, products, profitability cash",2,2010-01-01
345,108,"bay, bay holdings, real, convertible notes, convertible",1,2010-01-01
346,110,"trust, best buy, unit holders, stores, properties",2,2010-01-01
347,115,"qvc, group, institution, tracking stock, title iv",5,2010-01-01
348,118,"notes, senior credit, senior, subsidiaries, guarantors",1,2010-01-01
349,119,"amak, extraordinary, extraordinary transactions, investment amak, transactions",1,2010-01-01
350,121,"equipment, seismic, seismic equipment, lease pool, lease",1,2010-01-01
351,126,"cp conduit, cp, conduit warehouse, term note, conduit",1,2010-01-01
352,133,"beryllium, sales, beryllium containing, alloys, products",1,2010-01-01
353,134,"steel, iron ore, ore, iron, mining",2,2010-01-01
354,135,"advisors, advisors clients, clients, trading, secured credit",2,2010-01-01
355,-1,"financial, company, operations, products, us",150,2011-01-01
356,0,"products, customers, results, operations, financial",50,2011-01-01
357,1,"clinical, product, candidates, product candidates, trials",27,2011-01-01
358,2,"bank, loans, loan, financial, interest",35,2011-01-01
359,3,"smaller reporting, smaller, reporting company, required smaller, provide information",20,2011-01-01
360,4,"gas, oil, natural gas, natural, oil natural",15,2011-01-01
361,5,"properties, reit, tenants, company, income",13,2011-01-01
362,6,"investment, investments, portfolio, securities, company",7,2011-01-01
363,7,"vehicle, vehicles, automotive, operations, sales",12,2011-01-01
364,8,"mortgage, mae, fannie, loans, fannie mae",20,2011-01-01
365,9,"stations, debt, operations, tax, reit",7,2011-01-01
366,10,"combination, initial, stock, initial combination, pegintron",2,2011-01-01
367,11,"hotel, hotels, reit, properties, income",10,2011-01-01
368,12,"clients, customer care, healthcare, client, customer",3,2011-01-01
369,13,"care, medicare, health, medicaid, hospitals",3,2011-01-01
370,14,"fund, funds, futures, vix, commodity",7,2011-01-01
371,15,"restaurants, restaurant, food, franchisees, franchise",3,2011-01-01
372,16,"argo, insurance, reinsurance, argo group, subsidiaries",3,2011-01-01
373,17,"exploration, mining, mineral, tetlin, minerals",2,2011-01-01
374,18,"uscellular, tds, tdss, wireless, spectrum",3,2011-01-01
375,19,"pages, report pages, information incorporated, factorsinformation, factorsinformation response",3,2011-01-01
376,20,"vice, company, president, financial, guaranty",3,2011-01-01
377,21,"cable, programming, video, services, content",2,2011-01-01
378,22,"semiconductor, test, wafer, customers, products",3,2011-01-01
379,23,"fuel, freight, hpt, carriers, hospitality trust",5,2011-01-01
380,24,"factorswe smaller, rule 12b, 12b, defined rule, 12b exchange",1,2011-01-01
381,25,"government, contracts, contract, uas, government contracts",4,2011-01-01
382,26,"southern, southern company, power, traditional operating, operating companies",3,2011-01-01
383,27,"progold, members, units, corn, cargill",1,2011-01-01
384,28,"wine, alcohol, companys, wines, beverage",1,2011-01-01
385,29,"custodian, gold, trust, ishares, sub",4,2011-01-01
386,31,"stations, radio, fcc, programming, station",1,2011-01-01
387,32,"aircraft, parts, airline, oems, replacement parts",2,2011-01-01
388,33,"water, lowry, lowry range, wastewater, district",2,2011-01-01
389,34,"peoples united, peoples, dnb, united financial, interest",3,2011-01-01
390,35,"imax, theater, film, films, ncm",2,2011-01-01
391,36,"homes, land, home, homebuilding, construction",1,2011-01-01
392,37,"insurance subsidiaries, donegal mutual, donegal, insurance, mutual",1,2011-01-01
393,38,"users, google, angi, homeservices, angi homeservices",1,2011-01-01
394,39,", , , , ",2,2011-01-01
395,40,"metals, metals usa, raw, results, operations",3,2011-01-01
396,41,"xm, sirius xm, sirius, bahama, tommy bahama",2,2011-01-01
397,42,"futures, uscf, bno, uso, ung",5,2011-01-01
398,43,"flooring, timber, floorcovering, carpet, lumber",3,2011-01-01
399,44,"solar, pv, modules, energy, solar energy",5,2011-01-01
400,46,"isobutanol, ethanol, convertible notes, convertible, production",1,2011-01-01
401,47,"fair value, fair, value, balance, gaap",1,2011-01-01
402,48,"philly, exchange agreement, hunter, nidus, ms hunter",1,2011-01-01
403,49,"revise result, contentspart 4item, 4item business4item, important furthermore, law 2table",2,2011-01-01
404,50,"semiconductor, customers, notes, products, customer",1,2011-01-01
405,51,"biodiesel, nitrogen, fertilizer, biofuels, nitrogen fertilizer",1,2011-01-01
406,53,"snap, franchisees, snap ons, ons, operations cash",1,2011-01-01
407,54,"paper, fiber, products, pcc, costs",3,2011-01-01
408,55,"enable, electric, centerpoint energy, energy, centerpoint",1,2011-01-01
409,56,"company, operations, oil, results, oil natural",2,2011-01-01
410,57,"food, products, branded, sales, foods",1,2011-01-01
411,58,"ctg, gsci, solutions, revenue, services",2,2011-01-01
412,59,"games, game, products, platforms, content",2,2011-01-01
413,60,"earnings, trust, northern, clients, northern trusts",1,2011-01-01
414,61,"jewelry, company, moissanite, watches, jewels",2,2011-01-01
415,62,"engagements, consultants, clients, client, employee",2,2011-01-01
416,63,"homebuilding, homes, mortgage, profitability stock, mortgage banking",1,2011-01-01
417,64,"waste, energy, energy waste, nep, projects",3,2011-01-01
418,65,"evercore, mbia corp, mbia, lp, corp",3,2011-01-01
419,66,"cruise, ships, cruises, guests, ship",2,2011-01-01
420,68,"furniture, office furniture, tax, dealers, raw",1,2011-01-01
421,72,"satellite, satellites, services, ss, spectrum",1,2011-01-01
422,73,"aerospace, aircraft, government, military, aviation",3,2011-01-01
