,Topic,Words,Frequency,Timestamp
84,11,"s1, s1 registration, however company generate, registration enough funds, enough funds next",1,2008-01-01
85,13,"medicare, health, notes, asset sale, senior unsecured notes",3,2008-01-01
86,14,"restaurants, restaurant, franchisees, food, fuddruckers",3,2008-01-01
87,15,"investment, investments, portfolio, securities, debt",3,2008-01-01
88,16,"mining, exploration, mineral, mine, gold",2,2008-01-01
89,17,"wireless, services, new, new services, suppliers vendors",1,2008-01-01
90,18,"semiconductor, semiconductor equipment, equipment, test, products",1,2008-01-01
91,19,"president, vice, vice president, mr, company",4,2008-01-01
92,20,"factorsrisk pages, pages document, factorsrisk pages document, factors20forward statements30, statements30",2,2008-01-01
93,21,"act required provide, company defined rule, defined rule 12b, reporting company defined, rule 12b",1,2008-01-01
94,22,"statements, report, annual report, annual, contentspagepart",3,2008-01-01
95,24,"government, contracts, contract, us, costs",2,2008-01-01
96,25,"southern, southern company, power, operating companies, traditional operating",4,2008-01-01
97,26,"products, software, customers, raw, aspenone",4,2008-01-01
98,27,"unitholders, units, general partner, partner, common units",3,2008-01-01
99,28,"ishares, gold, trust, custodian, trustee",1,2008-01-01
100,29,"services, service, content, subscribers, video",3,2008-01-01
101,30,"steel, worthington, cylinders, products, fiscal",3,2008-01-01
102,31,"programming, wwe, television, stations, fcc",2,2008-01-01
103,32,"aircraft, company, max, airline, faa",1,2008-01-01
104,33,"water, wastewater, water wastewater, water supply, costs",1,2008-01-01
105,34,"theatre, hotels resorts, film, movie, films",1,2008-01-01
106,36,", , , , ",2,2008-01-01
107,37,"interest, interest rates, rates, changes interest rates, changes interest",1,2008-01-01
108,38,"homes, home, land, homebuilding, mortgage",1,2008-01-01
109,39,"ung, futures, uscf, contracts, futures contracts",2,2008-01-01
110,41,"timber, timberlands, zealand, new zealand, timberland",2,2008-01-01
111,42,"qvc, group, liberty, xm, sirius xm",2,2008-01-01
112,44,"paper, pulp, million, products, credit",4,2008-01-01
113,45,"nathan, restaurant, restaurants, franchisees, hot",1,2008-01-01
114,47,"fruit, vegetables, vegetable, food, products",3,2008-01-01
115,51,"tenants, properties, megaplex, entertainment, tenant",1,2008-01-01
116,52,"telesat, satellite, satellites, services, clients",2,2008-01-01
117,53,"games, game, titles, revenue, products",3,2008-01-01
118,56,"revise result, revise result new, update revise result, upon statements except, annual report place",2,2008-01-01
119,57,"services, search, iac, advertising, products services",2,2008-01-01
120,61,"contract, project, contracts, projects, costs",1,2008-01-01
121,63,"insurance, mercer, marsh, clients, consulting",3,2008-01-01
122,66,"nuclear, fuel, fpl, nee, fuel designs",1,2008-01-01
123,67,"government, aerospace, aerospace businesses, aircraft, businesses",1,2008-01-01
124,68,"insurance, title, title insurance, mortgage, title insurance industry",1,2008-01-01
125,69,"cruise, ships, cruises, vacation, guests",2,2008-01-01
126,72,"nea, njea, power, power purchase, energy",1,2008-01-01
127,74,"satellites, satellite, merger, radios, sirius radios",1,2008-01-01
128,75,"footwear, companys, apparel, company, footwear apparel",1,2008-01-01
129,76,"insurance, adverse effect consolidated, financial, effect consolidated, effect",1,2008-01-01
130,78,"printers, products, printing, materials, customers",1,2008-01-01
131,82,"mv, trust, mv partners, underlying properties, net profits interest",1,2008-01-01
132,85,"company, rio rancho, media services, rancho, rio",1,2008-01-01
133,87,"statements, undue reliance statements, reliance statements, place undue reliance, undue reliance",2,2008-01-01
134,89,"rail, financial condition liquidity, condition liquidity, kcs, fuel",1,2008-01-01
135,90,"engagements, consultants, clients, client, employee",2,2008-01-01
136,95,"home improvement, home, sales, improvement, stores",1,2008-01-01
137,101,"relating business44risks, business44risks relating industry62, factors43risks, relating industry62, factors43risks relating",1,2008-01-01
138,103,"rmbs, assets, mortgage, interest, agency rmbs",1,2008-01-01
139,105,"siebert, trading, securities, broker, electronic",1,2008-01-01
140,109,"florida, real, estate, real estate, land",3,2008-01-01
141,111,"company, steel, harsco, iron ore, ore",1,2008-01-01
142,112,"laboratory, company, cdd, laboratories, testing",2,2008-01-01
143,113,"energizer, new energizer, care, company, salons",1,2008-01-01
144,114,"hetnets, wireless, customers, products, financial position results",1,2008-01-01
145,115,"clients, client, supplies distributors, stations, credit",1,2008-01-01
146,116,"guaranty, fair value, fair, value, losses",1,2008-01-01
147,118,"asset liquidation, liquidation, asset, nlex, auction",1,2008-01-01
148,119,"ctg, revenue, company, services, clients",2,2008-01-01
149,122,"warehouse, warehouse clubs, warehouse club, clubs, merchandise",1,2008-01-01
150,124,"euro, trust, depository, price euro, deposit",1,2008-01-01
151,128,"seed, mosaic, cargill, crop, phosphate",1,2008-01-01
152,130,"jewelry, moissanite, finished jewelry, jewels, moissanite jewels",1,2008-01-01
153,133,"advisors, clients, advisors clients, secured credit agreement, service",1,2008-01-01
154,-1,"financial, operations, us, company, products",131,2009-01-01
155,0,"products, customers, results, financial, operations",62,2009-01-01
156,1,"product, clinical, candidates, product candidates, approval",24,2009-01-01
157,2,"bank, loans, loan, financial, interest",20,2009-01-01
158,3,"gas, oil, natural gas, natural, oil natural",13,2009-01-01
159,4,"smaller reporting, smaller, smaller reporting company, reporting company, required provide information",14,2009-01-01
160,5,"properties, reit, income, tenants, tax",14,2009-01-01
161,6,"vehicle, vehicles, operations, dealerships, automotive",12,2009-01-01
162,7,"mortgage, fannie, mae, loans, fannie mae",9,2009-01-01
163,8,"stock, series, preferred, preferred stock, feedstock",2,2009-01-01
164,9,"insurance, reinsurance, company, claims, financial",6,2009-01-01
165,10,"hotel, hotels, reit, company, properties",9,2009-01-01
166,11,"combination, initial, initial combination, merger, target",1,2009-01-01
167,12,"fund, futures, funds, vix, index",7,2009-01-01
168,13,"medicare, care, medicaid, health, rico",4,2009-01-01
169,14,"restaurants, franchisees, restaurant, food, franchise",3,2009-01-01
170,15,"investment, investments, portfolio, securities, debt",4,2009-01-01
171,16,"exploration, mineral, mining, gold, company",5,2009-01-01
172,17,"wireless, spectrum, fcc, services, tds",4,2009-01-01
173,18,"semiconductor, products, customers, manufacturing, sales",4,2009-01-01
174,19,"president, vice, vice president, mr, served",2,2009-01-01
175,20,"factorsinformation, factorsnot applicable registrant, applicable registrant, factorsnot, pages",4,2009-01-01
176,21,"act required provide, company defined rule, defined rule 12b, reporting company defined, rule 12b",3,2009-01-01
177,22,"statements, contentspagepart, report, statements made, update statements",3,2009-01-01
178,23,"fuel, freight, carriers, transportation, drivers",3,2009-01-01
179,24,"leidos, contracts, government, contract, lockheed martin",1,2009-01-01
180,25,"southern, southern company, power, operating companies, traditional",3,2009-01-01
181,26,"bway, pik notes, products, raw, materials",4,2009-01-01
182,27,"general partner, unitholders, partner, units, common units",3,2009-01-01
183,28,"ishares, gold, trust, custodian, trustee",1,2009-01-01
184,29,"content, video, sky, subscribers, services",2,2009-01-01
185,30,"crane, products, operations, segment, results",1,2009-01-01
186,31,"programming, television, stations, content, fcc",1,2009-01-01
187,32,"aircraft, contracts, airline, government, program",1,2009-01-01
188,33,"water, rangeview, wastewater, rangeview district, lowry",4,2009-01-01
189,34,"theatre, cinema, film, ncm, films",2,2009-01-01
190,35,"payroll, clients, services, workers, paychex",2,2009-01-01
191,37,"company, dnb, fhlb, interest, bank",1,2009-01-01
192,38,"results cash flows, operating results cash, results cash, homes, financial condition operating",1,2009-01-01
193,39,"usl, futures, uscf, contracts, oil",1,2009-01-01
194,40,"ethanol, biodiesel, fuel, national fuels, fuels",2,2009-01-01
195,41,"carpet, floorcovering, lumber, timber, sales",2,2009-01-01
196,43,"solar, modules, pv, energy, solar modules",3,2009-01-01
197,44,"paper, coated, paper products, indebtedness, raw",1,2009-01-01
198,45,"nathan, restaurant, restaurants, famous, hot",1,2009-01-01
199,46,"evercore, evercore lp, lp, clients, investment",1,2009-01-01
200,47,"sale transaction, transaction, dole, fruit, fresh",2,2009-01-01
201,48,"snap, franchisees, snap ons, operations, ons",1,2009-01-01
202,49,"clients, contract professionals, services, results, financial",3,2009-01-01
203,50,"farmer, farmer mac, mac, agricultural, stores",2,2009-01-01
204,51,"real fortune, fortune, statements, uhf, china",1,2009-01-01
205,52,"services, telesat, motorola, customers, content",2,2009-01-01
206,53,"game, video game, video, games, video game products",2,2009-01-01
207,54,"cit, cit bank, financial, bank, operations",2,2009-01-01
208,55,"regulation company required, defined regulation company, company defined regulation, defined regulation, regulation company",1,2009-01-01
209,58,"drilling, oil, gas, rigs, drilling contracts",3,2009-01-01
210,60,"mge, energy, electric, consumers, power",1,2009-01-01
211,62,"furniture, tax, sc transport inc, sc transport, raw",1,2009-01-01
212,63,"mmc, consulting, insurance, putnam, mercer",3,2009-01-01
213,65,"gaming, casino, casinos, colorado, slot",1,2009-01-01
214,66,"fpl, fpl group, group fpl, fpl group fpl, group",2,2009-01-01
215,67,"government, aerospace, percent, aircraft, products",1,2009-01-01
216,68,"mortgage, loans, insurance, mgic, loan",1,2009-01-01
217,70,"class common stock, class common, class, lived, tax",1,2009-01-01
218,71,"equipment, construction, rod, pc strand, wire rod",2,2009-01-01
219,73,"arconic, material, future, us, costs",1,2009-01-01
220,74,"spacecraft, aso, satellite, satellites, space",1,2009-01-01
221,75,"footwear, ugg, products, sales, brands",1,2009-01-01
222,80,"uranium, government, contracts, project, mining",1,2009-01-01
223,82,"mv, mv partners, trust, underlying properties, net profits interest",1,2009-01-01
224,83,"title iv, education, students, iv, title",1,2009-01-01
225,84,"coal, mining, coke, cokemaking, mine",2,2009-01-01
226,85,"company, financial, within, markets, furniture",1,2009-01-01
227,88,"report described company, company filings exchange, exchange act part, described company filings, elsewhere report described",2,2009-01-01
228,90,"engagements, consultants, employee, employee consultants, clients",1,2009-01-01
229,93,"factorssee managements, factorssee, regarding significant adversely, performance set forth, results statements beginning",2,2009-01-01
230,95,"home, operations financial position, financial position, home improvement, products",2,2009-01-01
231,96,"dte, registrants, dte energy, energy, gas",1,2009-01-01
232,99,"company, agricultural, products, stock, results",1,2009-01-01
233,100,"grainger, position assumed, pandemic, products, grainger ability",1,2009-01-01
234,102,"tobacco, cigarette, tobacco products, swm, lip",1,2009-01-01
235,103,"rmbs, agency rmbs, interest, hcs, mortgage",1,2009-01-01
236,104,"corporation, bank, group inc, sachs, capital",2,2009-01-01
237,105,"brokerage, trading, electronic, markets, broker",1,2009-01-01
238,106,"oem suppliers, oem, mitac, mitac international, operating results",1,2009-01-01
239,109,"bay, real, bay holdings, estate, real estate",1,2009-01-01
240,111,"steel, iron ore, iron, ore, mines",3,2009-01-01
241,113,"salons, salon, company, franchisees, franchise",1,2009-01-01
242,114,"hetnets, wireless, shared wireless, shared wireless infrastructure, wireless infrastructure",2,2009-01-01
243,116,"guaranty, fair value, fair, value, losses",2,2009-01-01
244,119,"ctg, revenue, services, solutions, staffing",1,2009-01-01
245,127,"varex, auto, state auto, state auto mutual, auto mutual",1,2009-01-01
246,130,"jewelry, bergio, company, moissanite, jewels",1,2009-01-01
247,-1,"financial, operations, products, company, us",125,2010-01-01
248,0,"products, customers, results, operations, financial",63,2010-01-01
249,1,"product, clinical, candidates, product candidates, approval",28,2010-01-01
250,2,"bank, loans, loan, interest, financial",28,2010-01-01
251,3,"gas, oil, natural gas, natural, oil natural",19,2010-01-01
252,4,"smaller reporting, smaller, smaller reporting company, reporting company, required provide information",7,2010-01-01
253,5,"properties, reit, income, tenants, property",9,2010-01-01
254,6,"ntic, vehicle, vehicles, sales, operations",10,2010-01-01
255,7,"mortgage, fannie, mae, fannie mae, fhfa",10,2010-01-01
256,8,"twc, charter, bright house, bright, transaction",6,2010-01-01
257,9,"insurance, reinsurance, argo, insurance subsidiaries, subsidiaries",6,2010-01-01
258,10,"hotel, hotels, reit, properties, hotel properties",7,2010-01-01
259,11,"combination, initial, initial combination, shares, stockholders",4,2010-01-01
260,12,"fund, funds, futures, vix, benchmark",3,2010-01-01
261,13,"medicare, care, reit, health, medicaid",4,2010-01-01
262,14,"restaurants, restaurant, franchisees, food, franchise",4,2010-01-01
263,15,"investment, investments, portfolio, securities, debt",5,2010-01-01
264,17,"wireless, products, customers, tds, services",4,2010-01-01
265,18,"semiconductor, customers, products, manufacturing, wafer",4,2010-01-01
266,19,"ibm, company, president, notes, vice",4,2010-01-01
267,20,"uncertainties11, statements page pages, page pages, statementspages, risks uncertainties11",3,2010-01-01
268,21,"act required provide, company defined rule, defined rule 12b, reporting company defined, rule 12b",2,2010-01-01
269,22,"statements, report, report form, form, annual report",3,2010-01-01
270,23,"fuel, freight, carriers, drivers, equipment",1,2010-01-01
271,24,"contracts, government, contract, dredging, costs",4,2010-01-01
272,25,"southern, southern company, power, operating companies, traditional",1,2010-01-01
273,26,"metal, metals, abl facility, abl, indebtedness",1,2010-01-01
274,28,"gold, custodian, trust, trustee, sub",2,2010-01-01
275,30,"laundry, cranes, products, industrial, operations",5,2010-01-01
276,31,"television, stations, programming, fcc, station",1,2010-01-01
277,32,"boeing, aircraft, b787, spirit, airbus",1,2010-01-01
278,33,"water, desalination, wastewater, px, water supply",3,2010-01-01
279,34,"ncm, cotter, founding, ncm llc, founding members",2,2010-01-01
280,36,", , , , ",2,2010-01-01
281,37,"dnb, financial, bank, interest, loan",2,2010-01-01
282,38,"homes, land, homebuilding, home, construction",1,2010-01-01
283,39,"ung, uso, futures, uscf, contracts",2,2010-01-01
284,41,"lumber, timber, sales, products, growth",2,2010-01-01
285,42,"4kids, television, programming, properties, xm",1,2010-01-01
286,43,"solar, modules, pv, pv modules, quality assurance",2,2010-01-01
287,44,"pulp, paper, papers, kimberly, kimberly clark",3,2010-01-01
288,45,"animal, animal health, health, patterson, products",1,2010-01-01
289,46,"investment, jmp, advisory, clients, jmp group",2,2010-01-01
290,47,"senior secured, secured, secured credit facilities, senior, senior secured credit",1,2010-01-01
291,48,"snap, franchisees, snap ons, operations cash flow, operations",2,2010-01-01
292,50,"farmer, farmer mac, stores, mac, agricultural",2,2010-01-01
293,53,"game, games, products, titles, video game",2,2010-01-01
294,54,"investment, assets, clients, engagements, services",2,2010-01-01
295,56,"revise result new, revise result, update revise result, contentstable, iitem",3,2010-01-01
296,57,"iac, search, ticketmaster, services, media",3,2010-01-01
297,58,"drilling, rigs, drilling rigs, contract drilling, pressure pumping",1,2010-01-01
298,60,"avista, mge, energy, avista utilities, utilities",2,2010-01-01
299,61,"projects, project, contracts, contract, work",1,2010-01-01
300,62,"furniture, virco, raw, costs, contract price list",1,2010-01-01
301,64,"amak, extraordinary, extraordinary transactions, investment amak, transactions",1,2010-01-01
302,66,"nee, fpl, nee fpl, results operations prospects, operations prospects",1,2010-01-01
303,67,"government, aerospace, percent, aircraft, products",1,2010-01-01
304,68,"mortgage, loans, insurance, mgic, loan",1,2010-01-01
305,69,"cruise, ships, cruises, vacation, guests",1,2010-01-01
306,70,"class common stock, class common, products, results, class",2,2010-01-01
307,71,"equipment, rental, construction, credit, financial",2,2010-01-01
308,72,"electric, nstar, gas, psnh, eversource",1,2010-01-01
309,73,"arconic, raw, nickel, materials, raw materials",1,2010-01-01
310,76,"insurance, financial, effect, adverse effect, material adverse effect",2,2010-01-01
311,78,"vistaprint, printing, products, websites, customers",1,2010-01-01
312,79,"statements, business4executive officers, subsequent annual periodic, schedule 14a 2table, contentsregis",1,2010-01-01
313,80,"uranium, mining, exploration, environmental, nuclear",1,2010-01-01
314,83,"education, title iv, strayer, strayer university, programs",1,2010-01-01
315,84,"coal, mining, nsp, psco, energy",3,2010-01-01
316,90,"consultants, engagements, clients, client, employee",2,2010-01-01
317,91,"investment, investments, portfolio, value, asset",1,2010-01-01
318,94,"products, distributors, herbalife, dietary, oxide",2,2010-01-01
319,97,"homebuilding, mortgage, homes, profitability stock performance, stock performance ability",1,2010-01-01
320,100,"grainger, fiscal, stock class common, common stock, pet",2,2010-01-01
321,101,"risks related businesses28risks, related businesses28risks, factors23other risks, factors23other risks related, businesses28risks",1,2010-01-01
322,103,"assets, mortgage, rmbs, loans, interest",1,2010-01-01
323,105,"electronic trading, trading, trading platform, broker, electronic",1,2010-01-01
324,106,"oem, products, customers, oem customers, operating results",2,2010-01-01
325,107,"qvc, group, institution, financial, stock",6,2010-01-01
326,109,"bay, real, bay holdings, convertible notes, convertible",1,2010-01-01
327,110,"investment, portfolio, solar capital, net asset value, solar capital partners",1,2010-01-01
328,111,"steel, iron ore, ore, iron, mining",2,2010-01-01
329,112,"laboratory, laboratories, clinical, testing, health",1,2010-01-01
330,113,"salons, products, company, condition profitability cash, salon",2,2010-01-01
331,115,"stations, broadcasting, fcc, television, advertising",1,2010-01-01
332,117,"notes, senior credit facility, senior credit, senior, subsidiaries",1,2010-01-01
333,118,"trust, best buy, stores, unit holders, products",2,2010-01-01
334,123,"cp conduit, cp, conduit warehouse, cp conduit warehouse, conduit warehouse facilities",1,2010-01-01
335,130,"jewelry, moissanite, jewels, moissanite jewels, finished jewelry",1,2010-01-01
336,131,"equipment, seismic, seismic equipment, lease, lease pool",1,2010-01-01
337,132,"earnings, clients, northern, negatively affect earnings, negatively",1,2010-01-01
338,133,"advisors, clients, mutual, advisors clients, secured credit agreement",3,2010-01-01
339,-1,"company, financial, operations, products, us",149,2011-01-01
340,0,"products, customers, results, operations, financial",56,2011-01-01
341,1,"product, clinical, candidates, product candidates, trials",27,2011-01-01
342,2,"loans, bank, loan, financial, interest",29,2011-01-01
343,3,"gas, oil, natural gas, natural, oil natural",16,2011-01-01
344,4,"smaller reporting, smaller, smaller reporting company, reporting company, required provide information",18,2011-01-01
345,5,"properties, reit, tenants, income, real",11,2011-01-01
346,6,"vehicle, vehicles, operations, sales, automotive",12,2011-01-01
347,7,"mortgage, mae, fannie, loans, fannie mae",19,2011-01-01
348,8,"senior preferred, senior preferred stock, preferred stock, preferred, stock",6,2011-01-01
349,9,"insurance, insurance subsidiaries, reinsurance, subsidiaries, argo",5,2011-01-01
350,10,"hotel, hotels, reit, company, properties",11,2011-01-01
351,11,"linde, linde plc, plc, combination, praxair",2,2011-01-01
352,12,"fund, funds, futures, vix, index",7,2011-01-01
353,13,"care, medicare, health, medicaid, hospitals",3,2011-01-01
354,14,"restaurants, restaurant, food, franchisees, franchise",3,2011-01-01
355,15,"investment, gc, gc advisors, portfolio, advisors",3,2011-01-01
356,16,"exploration, mining, mineral, tetlin, minerals",2,2011-01-01
357,17,"uscellular, tds, tdss, wireless, spectrum",2,2011-01-01
358,18,"semiconductor, products, test, customers, wafer",4,2011-01-01
359,19,"company, financial, vice, president, guaranty",3,2011-01-01
360,20,"pages, report pages, information incorporated, factorsinformation, report",3,2011-01-01
361,21,"act required provide, company defined rule, defined rule 12b, reporting company defined, factorswe smaller reporting",1,2011-01-01
362,22,"statements, annual report, report, annual, caution rely",2,2011-01-01
363,23,"fuel, freight, hpt, carriers, transportation",5,2011-01-01
364,24,"government, contracts, contract, uas, us",4,2011-01-01
365,25,"southern, southern company, traditional operating, power, operating companies",4,2011-01-01
366,26,"raw, operations, products, results, senior notes",5,2011-01-01
367,27,"progold, members, units, corn, cargill",1,2011-01-01
368,28,"gold, custodian, trust, ishares, sub",4,2011-01-01
369,29,"cable, programming, video, services, content",2,2011-01-01
370,30,"steel, worthington, cylinders, joint, industrial",3,2011-01-01
371,31,"stations, radio, fcc, programming, station",1,2011-01-01
372,32,"aircraft, parts, airline, oems, costs",2,2011-01-01
373,33,"water, lowry, lowry range, wastewater, district",2,2011-01-01
374,34,"imax, theater, film, films, ncm",2,2011-01-01
375,36,", , , , ",2,2011-01-01
376,37,"peoples united, dnb, peoples, united financial, interest",3,2011-01-01
377,38,"homes, land, home, homebuilding, construction",1,2011-01-01
378,39,"futures, uscf, contracts, bno, uso",5,2011-01-01
379,40,"isobutanol, ethanol, convertible notes, convertible, production",1,2011-01-01
380,41,"flooring, timber, floorcovering, carpet, lumber",3,2011-01-01
381,42,"xm, sirius xm, sirius, bahama, tommy bahama",2,2011-01-01
382,43,"solar, pv, modules, energy, pv modules",4,2011-01-01
383,44,"paper, products, fiber, costs, prices",3,2011-01-01
384,45,"nathan, restaurant, restaurants, famous, branded",1,2011-01-01
385,46,"maiden, evercore, clients, advisory, financial",5,2011-01-01
386,48,"snap, franchisees, snap ons, operations, operations cash flow",1,2011-01-01
387,51,"exchange agreement, philly, hunter, nidus, ms hunter",1,2011-01-01
388,52,"services, telesat, content, customers, clients",3,2011-01-01
389,53,"games, game, products, platforms, content",2,2011-01-01
390,54,"company, title insurance, title, insurance, company title",1,2011-01-01
391,56,"revise result new, update revise result, revise result, contentspart 4item business4item, contentspart 4item",2,2011-01-01
392,57,"iac, google, angi, angi homeservices, homeservices",1,2011-01-01
393,58,"drilling, rigs, oil, drilling contracts, rig",1,2011-01-01
394,59,"rdsh, marine, common shares, shares, boat",1,2011-01-01
395,60,"enable, electric, energy, centerpoint energy, centerpoint",1,2011-01-01
396,61,"project, projects, contracts, contract, work",2,2011-01-01
397,62,"furniture, tax, office furniture, dealers, raw",1,2011-01-01
398,65,"gaming, macau, wynn, resorts, casino",2,2011-01-01
399,67,"aerospace, government, aircraft, military, aviation",3,2011-01-01
400,68,"bkfs, group, fnf, group common stock, group common",1,2011-01-01
401,69,"cruise, ships, cruises, guests, ship",1,2011-01-01
402,72,"nstar, electric, psnh, transmission, gas",1,2011-01-01
403,73,"raw, arconic, materials, ourbusiness, raw materials",2,2011-01-01
404,74,"satellite, satellites, services, ss, service",1,2011-01-01
405,77,"waste, energy, nep, energy waste, projects",3,2011-01-01
406,79,"statements, incform, international incform ktable, incform ktable, incform ktable contentspart",1,2011-01-01
407,83,"title iv, students, education, iv, title",2,2011-01-01
408,84,"coal, mining, coal supply, coal supply agreements, mine",2,2011-01-01
409,86,"pharmacy, pbm, health, medicare part, medicare",1,2011-01-01
410,87,"statements, undue reliance statements, reliance statements, place undue reliance, undue reliance",3,2011-01-01
411,89,"rail, liquidity particular year, particular year quarter, operations liquidity particular, year quarter",1,2011-01-01
412,90,"engagements, consultants, clients, employee, client",2,2011-01-01
413,91,"investment, portfolio, investments, companies, value",1,2011-01-01
414,92,"prc, paper, paper hb, hb, orient paper",1,2011-01-01
415,96,"dte, registrants, energy, dte energy, gas",1,2011-01-01
416,97,"homebuilding, homes, mortgage, stock performance ability, profitability stock performance",1,2011-01-01
417,100,"grainger, grainger reputation, information systems, grainger ability, affect grainger",1,2011-01-01
