,cluster_id,cluster_terms
18,14,scope right;satisfy applicable;covered claim;difficult identify;litigation material adverse;term extension;congress passed;may prove incorrect;purchase lease;federal civil;government shutdown;resource would;plan healthcare;statement material;resource away;pricing practice;government contractor;passed legislation;number type;monetary penalty law;among thing knowingly;judge;addressable;law among;government funding;may participate;country patent;enacted federal;number people;technology duplicate;designed among thing;similar proceeding;addition agreement;put pressure;infringe misappropriate;litigation material;ability hire retain;licensing law;incentivize;certain individual;trump administration;due size;remaining term;may competitive;technology without infringing;registered trademark;passing;qualified replacement;trademark trade name;willfully executing;practitioner;individual mandate;service cm;marketing cost;subset;intellectual property licensed;thing knowingly;patent term extension;additional reporting;affords;patent application covering;impair ability maintain;health coverage;compulsory licensing;annuity;develop similar;ability maintain current;pay fee;subject political;right trademark;prove incorrect;agency government;law patent;may competitive advantage;federal state legislation;may potentially;healthcare product;limited tothe;government agency government;predict time;property licensed;information privacy;repealed;held invalid;also may unable;funding level;coverage level;provider health;went;increase possibility;clearinghouses;within applicable;expect additional;medically;law civil
19,8,act hipaa;economic clinical;clinical health;information technology economic;accountability act;hitech;technology economic clinical;insurance portability accountability;insurance portability;portability accountability;act hitech;economic clinical health;portability accountability act;health information technology;accountability act hipaa;health insurance portability;health act hitech;health act;portability;clinical health act;technology economic
20,97,extended transition period;revised accounting standard;new revised accounting;revised accounting;apply private company;complying new;new revised;apply private;extended transition
21,69,accuracy completeness;completeness financial report;completeness;accuracy completeness financial;completeness financial;confidence accuracy;confidence accuracy completeness
22,83,strategic objective;result failing;investigating;process result;similar law;data privacy security;verification;act enacted;per year;subject enforcement;prioritize;various aspect;vigorously;may successfully;act federal;compliant;future increase;book record;violating;criminal liability;financial operational;maker;failure effectively;recommended;service executive;one jurisdiction;technology platform;private sector;processor;payment system;consistently;transitioned;devote significant;demanding;redundant;effectively may;state internationally;agreement provide;regulation apply;harm prospect;required implement;additional requirement;litigation matter;recommendation security analyst;advancement;certain regulatory;security requirement;may impact ability;recipient;negatively affect operating;certain market;comply standard;difficulty delay;state united;regulation united;taxing authority;data available;growth plan;fine imprisonment;foundation;expected continue;damage award;may required obtain;experience disruption;designing;certain change;regulation united state;followed;inform;cannot ensure;alleged violation;week;existing regulation;intervention;third quarter;law regulation apply;subject similar;took;required law;fast;provide certain;enacted law;report may;gaining;law federal;continue attract;revenue financial;tax reform;compliance federal;requirement product;key element;competitor offer;able provide;significant growth;civil criminal sanction;united state internationally;entirety
23,11,applicable rule;inadvertent lapse;documentary;relevant jurisdiction;provision patent;requirement imposed governmental;late fee;cured payment late;periodic maintenance;payment late;compliance various;right relevant;documentary fee payment;payment late fee;fee payment;late fee mean;compliance various procedural;lapse patent patent;patent protection depends;abandonment lapse;result abandonment lapse;governmental patent;loss patent right;protection depends;payment requirement imposed;various procedural;imposed governmental patent;governmental patent agency;cured payment;partial complete loss;might able enter;mean accordance;lapse patent;protection reduced eliminated;complete loss patent;compliance number procedural;imposed governmental;patent right relevant;resulting partial;agency patent;resulting partial complete;documentary fee;fee mean accordance;number procedural;fee payment requirement;procedural documentary fee;noncompliance result;number procedural documentary;procedural documentary;patent agency;abandonment lapse patent
24,31,required maintain;certain limited;endeavor;required provide;shall;voted;share held;increase likelihood;taking account;federal security;discouraging;transaction affiliate;treated;whereby;year ending;private placement;proceed;able find;share share;currently expect;depreciation amortization;year ending december;tax would;net proceeds;limited exception;irs;may access;common stockholder;unlike;bad;depreciation;distributing;tangible;waived;federal security law
25,22,incurred significant;sufficient resource;timeline;achieve profitability;viable;product obtain;fail achieve;expect incur;rigorous;suspended;public health;adequate coverage;commercially viable;continue incur;addition fda;marketing distribution;strategic alliance;prevent delay;proximity;significantly increase cost;successfully complete;may available acceptable;continue incur significant;market acceptance product;able generate;sale marketing activity;obtaining maintaining;become profitable;file patent;approved product;commence;opposition;future development;seizure;marketing activity;available acceptable;quality assurance;ability commercialize;cost effectiveness;highly uncertain;able enter;novel
26,10,protection available;general thereby;regulation governing patent;impairing ability protect;patent change;legal assertion;thereby impairing ability;alleged failure;litigation united;enablement;governing patent;uncertainty regard;legal assertion invalidity;patent general thereby;value patent general;assertion invalidity;thereby impairing;change unpredictable way;invalidity unenforceability;defendant counterclaim;governing patent change;proceeding third;created uncertainty;new patent;misleading statement;alleging invalidity;patent general;commonplace;general thereby impairing;available certain circumstance;proceeding third party;litigation united state;alleging invalidity unenforceability;invalidating;patent change unpredictable;assertion invalidity unenforceability;change unpredictable;withheld
27,16,drug substance;need enter;amount term;license certain;may sued;stock pursuant;significant control;recommend;acceptance among;collaborator third;post market;regulatory requirement result;exert significant;application license;expect significant;would lose;failure properly;ability obtain regulatory;necessary regulatory approval;necessary regulatory;require substantial time;among jurisdiction;manufacturing sale;anticipate continue;alternative arrangement;addition currently;require cease;cannot currently;challenge validity;positive result;within specified;within prescribed;promotion product;way may;establishing maintaining;level government;patent owned;marketing promotional;additional indication;lot;additional dilution;may need seek;product label;litigation expense;delay obtaining regulatory;country law;making claim;security stockholder;application product;obligation license;perhaps;need seek;required limit;manufacturer subject;additional cost may;compliance may;significantly change;maintain enforce;may prevent delay;collaboration partner;compliance foreign;without authorization;product fda;subject matter;associated operating;future continue;predict timing;expense would;approval study;sec nasdaq;defense claim;ownership right;limit market;advancing;may result delay;process require;product method;subject numerous risk;gain market acceptance;delay may;obligation agreement;may protect right;regulatory clearance;scaling;suspension termination;continual;technology covered;substantially equivalent;dr;consent decree
28,40,source financing;determinable;unaffiliated third party;estate property;provision would;attractive term;interpretation may;delay prevent transaction;prepaid;effect value;transaction tax;result fluctuation;engage activity;execute plan;characterization;risk would;early termination;real estate property;certain sale;reduced rate;non renewal;possession;asset portfolio;market valuation;accordance gaap;certain combination;unaffiliated third;adverse effect value;type asset;asset might;agreement term;prevent transaction;tax change;investment policy;charitable;value asset may
29,20,clinical trial abandon;expense may incur;inconclusive result;take considerable time;restrict regulate;promotional activity;authority take;unsatisfactory;take considerable;pricing regulation;coverage policy;handling storage;commence clinical trial;precludes;pricing review;tort claim;governmental control;timely basis acceptable;inconclusive;reimbursement pricing;duty meet expected;authority third;meet contractual obligation;effective march;disposal hazardous material;commence clinical;contractual duty meet;activity associated;new government;labeling storage;regulatory authority country;duty meet;cost research;law regulation also;may demonstrate;information expose;prevent marketing;country pricing;generate sale;delay marketing;country subject;negative inconclusive;whether additional;exposed unacceptable health;failure failure;may larger;negative inconclusive result;numerous environmental;suspend terminate;timing outcome;approval granted;obligation timely manner;sponsor may;expedited;considerable time;regulator may require;unacceptable health;reimbursement new;may suspend;obligation timely;trial abandon;authority third party;list price;basis acceptable;party coverage reimbursement;personnel support;exposed unacceptable;meet contractual;activity affect;proposal made
30,94,requirement holding nonbinding;longer emerging growth;compensation stockholder approval;golden parachute;le active;reduced disclosure obligation;reduced disclosure;may le active;growth company defined;auditor attestation requirement;longer emerging;active trading;growth company;requirement applicable public;company emerging growth;investor find;parachute;active trading market;attestation requirement;nonbinding advisory vote;required comply auditor;requirement section 404;payment previously;vote executive;obligation executive;nonbinding;comply auditor;approval golden parachute;compensation stockholder;advisory vote executive;le active trading;public company emerging;rely exemption;auditor attestation;company emerging;payment previously approved;requirement holding;disclosure obligation;attestation;obligation executive compensation;parachute payment previously;approval golden;parachute payment;stockholder approval golden;vote executive compensation;attractive investor;applicable public company;attestation requirement section;emerging growth company;nonbinding advisory;executive compensation stockholder;emerging growth;le attractive investor;auditor;comply auditor attestation;golden;golden parachute payment;le attractive result;applicable public;disclosure obligation executive;holding nonbinding;holding nonbinding advisory;company defined;advisory vote;attractive result
31,15,drug administration fda;drug administration;administration fda
32,27,regulatory proposal;may adopted;pressure price;number legislative;attain;act collectively;attain profitability;research institute;comparative;may adopted future;payment private;coverage criterion;discount program;may result similar;reconciliation act collectively;reimbursement medicare;similar reduction;healthcare reform measure;number legislative regulatory;reform measure;effectiveness research;downward pressure price;new patient;legislative regulatory proposal;manufacturer medicaid
33,93,certain exemption various;may take advantage;take advantage certain;proxy statement exemption;certain exemption;various reporting requirement;advantage certain exemption;report proxy statement;executive compensation periodic;exemption requirement;various reporting;advantage certain;exemption various reporting;exemption requirement holding;exemption various;statement exemption requirement;compensation periodic;compensation periodic report;statement exemption;periodic report proxy;reporting requirement applicable
34,4,knowledge statute;specific intent;statute constitutes false;statute specific intent;claim purpose;specific intent violate;actual knowledge statute;actual knowledge;service resulting violation;knowledge statute specific;statute specific;intent violate
35,7,department health human;human service;office inspector;inspector;inspector general;department health;health human service;health human;office inspector general
36,25,standard requirement;data accurately;investigation action;precaution take;employee misconduct;law regulation intended;misconduct employee;action instituted;regulation intended;accurate information;misconduct precaution take;report financial information;discounting;sale commission;right action;governmental investigation;industry subject extensive;protecting governmental;protecting governmental investigation;loss protecting governmental;manufacturing standard
37,89,governed internal affair;limit stockholder;judicial forum find;lawsuit director officer;dispute director;choice forum provision;forum derivative;action asserting;may discourage lawsuit;chancery state delaware;forum derivative action;claim governed;proceeding brought behalf;forum find;exclusive forum;asserting claim arising;stockholder limit;additional cost associated;asserting claim governed;affair doctrine;discourage lawsuit;bring claim judicial;stockholder ability bring;brought behalf;obtain favorable judicial;court chancery state;resolving;governed internal;court chancery;doctrine;claim judicial;ability obtain favorable;derivative action proceeding;dispute director officer;internal affair doctrine;internal affair;breach fiduciary;favorable judicial forum;associated resolving;forum find favorable;find favorable;officer employee may;derivative action;forum dispute;action proceeding;forum dispute director;employee may discourage;inapplicable;judicial forum;cost associated resolving;asserting claim;stockholder ability obtain;favorable judicial;claim arising pursuant;forum provision may;inapplicable unenforceable;court find;stockholder ability;claim judicial forum;discourage lawsuit director;choice forum;favorable dispute;favorable dispute director;obtain favorable;forum provision;ability bring;limit stockholder ability;action proceeding brought;exclusive forum derivative;ability bring claim;action asserting claim;claim governed internal;find favorable dispute;stockholder limit stockholder;state delaware;chancery;proceeding brought;provision may limit;forum;may limit stockholder;chancery state;judicial forum dispute;director officer employee;arising pursuant;lawsuit director;bring claim
38,53,provide adequate;transition;failing;may engage;sale substantial;requirement applicable;fund may;may incur additional;sponsor;transition period;opt;advantageous;eligibility;compromised;future earnings;kind;asserting;able maintain;unlikely;conclude;product technology;entering;law state;initial public offering;management may;time period;independently;initial public;unenforceable;ensuring;executive officer director;valuable;operating history;private company;prevail;required comply;investor may;act amended
39,37,consensus;state california;delay disruption;enacted legislation;propertywe;proof;may request;amending;product harm;adversely affect stock;obtain retain;silicon;expect pay;future operating performance;ability enforce;staffing managing foreign;expand product;effective timely;addition united;manufacturing requirement;result public;unable expand;disrupted operation;protect loss;development sale marketing;greatest;addition regulatory;undergone;expense may increase;enjoined;additional employee;strengthened;successfully identify;report adverse;disproportionate amount;protecting intellectual property;may impose additional;state district court;recently completed;expend substantial;may fall;act exchange;sale product may;believe product;supermajority;protecting intellectual;proposition;party certain;certain agreement;technology would;direct control;concern may;managing foreign;development sale;issue arise;guarantee future;subject complex;incurrence indebtedness;within outside;regulatory issue;major change;cost good;consultation;meet regulatory requirement;investigation regulatory;also may able;difficult raise;must able;successful developing;becoming increasingly;may dependent;intellectual propertywe;addition one;contractual requirement;party upon;expensive defend;resulting claim;substantial period time;would result increased;obligate;revenue reduced;significant amount time;addition recent;depend upon number;relevant product;take action may;enter may;plan place;owned controlled;highly speculative;supplier also;compatibility;offering common;cost good sold;product cannot;act exchange act;cause price common
40,79,grow revenue;proprietary software;grows;third party data;source code;source software;development marketing;increase revenue;software may;server;party data;undetected;revenue increase;awareness;sale effort;brand awareness;timely fashion;derivative work;direct sale force;sale personnel;slowly;source license;rapidly evolving;fashion
41,50,regulatory framework;press;framework;realize anticipated;anticipated benefit;past may;destruction;delivering;impose additional;past may future;adopting;similar event;broad range;regulation applicable;provide service;communicate
42,18,information trade secret;cost timely;legal development;development united;cost defend;sufficiently broad;patent application reasonable;significant cost associated;development united state;application reasonable;initiation continuation;future patent application;litigation legal proceeding;yet demonstrated;state country may;specific action;addition many country;greater commercial;resulting initiation;resulting initiation continuation;making capital expenditure;party commercialize;uncertainty resulting initiation;held unenforceable;confidentiality trade;inside outside united;cost timely manner;may cause fail;competitive position would;candidate commercialized;may sufficiently;patent law united;disclose proprietary information;application reasonable cost;substantial adverse;limiting restricting;proprietary information trade;advisor third;viable commercial;litigation legal;restricting ability;addition public;expensive product;dissuade;amount time required;advisor third party;try ensure;pursuit opportunity;uncertainty resulting;may expend;sufficient right;necessary successful;reasonable cost timely;disclose proprietary;may breach agreement;generate substantial;reduce terminate;third party commercialize;sale equity convertible;generally highly;activity future;information trade;ability compete marketplace;agreement disclose;country jurisdiction
43,46,single family;therefore result;interest rate result;introduced congress;risk cyber;malicious code;operational cost;statement report;operation revenue;condition capital market;industry economy;builder;may charge;proliferation;information security risk;uncertain economic;transaction counterparties financial;political market;become target;credit liquidity;maximizing;infrastructure third;non binding;effective january 2020;vendor service;condition caused;expend additional;strongly;continue evolve;value liquidity;political market condition;integrity availability;legal risk;result disclosure;course may;ordinary course may;additional legal;risk data;event affect;interest due;monitor control;cannot anticipate;cannot determined;dependent information technology;stock increase;became effective january;take additional;respect financial;evolve may;market negative;different industry counterparties;condition may materially;infrastructure third party;expend additional resource;followingwe;industry counterparties
44,32,market security;exercise warrant;thus may;affiliate may;principal interest debt;decision whether;purchase security;excess current;electing;redeemed;opted;company may take;may limited ability;closing condition;liquidate investment;agrees;investment vehicle;security trading;national security exchange;state security;respect acquisition;winding;equity issuance;underwriter;term transaction;current year;prospectus;cash may;reduce fund available;described herein;substantially le;may trade;except certain;redeemable;advised;may also issue;following initial;dissolution;trading security;ask;substantial debt;issue security;claim creditor;holder majority;investment company act;security holder;involuntary;recover amount;investment company investment
45,77,response covid pandemic;ended december 2020;impact covid pandemic;human capital;covid pandemic may;quarantine;infectious;remotely;health crisis;vaccine;outbreak covid;economy financial market;2030;social distancing;covid;june 2020;related covid;shelter place;due covid;spread covid;november 2020;extent impact;may 2020;world health organization;travel restriction;result covid pandemic;2020 respectively;covid pandemic;infectious disease;put place;april 2020;employee work;pandemic may;shelter;2020 approximately;2023;response covid;december 2020;september 2020;impact covid;health organization;covid outbreak;march 2020;january 2021;december 2021;extent covid;july 2020;distancing;result covid;wellness;february 2021;world health;general risk;work home
46,39,count;changing need;public relation;protect trademark;also continue;non profit;added tax;value added tax;materially contained forward;future cause;positioning;able determine;new model;described note;experience operating;security attack;impact ability attract;materially contained;friendly;scalable;delay operation;million cash;failure develop;existing employee;none employee;restructuring activity;health epidemic;insight;variety law;team member;motivating;disruption supply chain;specific country;company wide;purchase product service;billed;believe ability;report onform;continue work;across multiple;particular may;sale team;onform;facilitates;achieve cost;tax law may;titled;one state;pc;access service;uniform standard;inability maintain;responsive;advocacy;delivers;technology customer;part ability anticipate;taken protect;stock issuance;continue offer;deliver service;specific customer;differ materially contained;strong relationship;supplier partner;differentiated;payment card;market competitive;advertise;providing product;divert management time;certification requirement;fail meet expectation;management time resource;helping;may subject fine;operation consolidated;provision tax;morale;leadership position;due increase;marked;powered;certain personal;asia pacific region;subject payment;stock award;evolution;globe;requirement may subject;requirement security exchange
47,99,standard time;standard apply;adopting new;growth company make;growth company required;job act may;take advantage exemption;certain reduced;company required comply;company five;long continue;act reduced disclosure;le attractive rely;attractive rely;company make common;defined job;oxley act reduced;advantage exemption;long remain;attractive rely exemption;standard public company;defined job act;act reduced;irrevocably;standard public
48,38,may damage;new feature;law various;impaired may;level revenue;harm financial result;estimate security analyst;ability distribute;law regulation related;devote greater resource;support growth;new application;described one face;acquire invest;offering product;secure additional;standard policy;spending level;result third party;add additional;party action;issue relating;demand management;part success;change competitive;defect error;require additional capital;failure protect intellectual;retain current;increased revenue;employee error;unauthorized party may;resource necessary;time result;result revenue;control result;able respond;marketing expense;compliance burden;fine damage;failure security;continue improve;continued success;amazon;believe complement;loss information;personnel operation;generally recognized;term satisfactory;devote greater;change stock;addition current;able obtain additional
49,59,behalf action asserting;delaware exclusive forum;incorporation inapplicable unenforceable;incorporation provides;incorporation inapplicable;certificate incorporation provides;behalf action;delaware exclusive;bylaw action;dgcl;certificate incorporation inapplicable;brought behalf action;bylaw action asserting;state delaware exclusive
50,87,data protection regulation;regulation gdpr;protection regulation gdpr;protection regulation;general data;general data protection;gdpr
51,52,cost diversion;action litigation;following period;substantial cost divert;past following period;security class action;past following;security class;cost divert management;class action;cost divert;instituted;class action litigation
52,90,alternative forum;consent writing selection;selection alternative forum;writing selection;selection alternative;consent writing;unless consent writing;writing selection alternative;forum court chancery;forum court;unless consent
53,95,make common;reduced disclosure requirement;find common stock;common stock stock;applicable emerging;make common stock;requirement applicable emerging;find common;result may le;common stock le;stock stock;investor find common;stock le;stock le attractive;growth company may;attractive result may;disclosure requirement applicable;applicable emerging growth
